Exp No.,Speed ,Feed ,Depth of cut ,Viscosity coefficient ,Cutting forces(FZ) ,Cutting force FZ *9.81 ,,,
1,635,0.285,0.5,10.472,32.84,321.77,,,
2,635,0.285,0.75,11.08,47.5,465.98,,,
3,635,0.285,1,13.08,56.4,553.28,,,
4,635,0.347,0.5,11.08,36.8,361.01,,,
5,635,0.347,0.75,13.08,37.5,367.88,,,
6,635,0.347,1,10.472,49.8,488.54,,,
7,635,0.499,0.5,13.08,56.4,553.28,,,
8,635,0.499,0.75,10.472,68.5,671.99,,,
9,635,0.499,1,11.08,79.8,782.84,,,
10,975,0.285,0.5,10.472,67,657.27,,,
11,975,0.285,0.75,11.08,61.5,603.32,,,
12,975,0.285,1,13.08,64.2,629.8,,,
13,975,0.347,0.5,11.08,38.4,376.7,,,
14,975,0.347,0.75,13.08,66.8,655.31,,,
15,975,0.347,1,10.472,65,637.65,,,
16,975,0.499,0.5,13.08,63,618.03,,,
17,975,0.499,0.75,10.472,69.8,684.74,,,
18,975,0.499,1,11.08,63.4,621.95,,,
19,1500,0.285,0.5,10.472,36.8,361.01,,,
20,1500,0.285,0.75,11.08,34.9,342.37,,,
21,1500,0.285,1,13.08,18,176.58,,,
22,1500,0.347,0.5,11.08,25.5,250.16,,,
23,1500,0.347,0.75,13.08,29.8,292.34,,,
24,1500,0.347,1,10.472,32.4,317.84,,,
25,1500,0.499,0.5,13.08,84.8,831.89,,,
26,1500,0.499,0.75,10.472,86,843.66,,,
27,1500,0.499,1,11.08,82.8,812.27,,,
